time,total_queue_length,waiting_for_seat_count,occupied_seats,finished_students,seat_utilization
791,0,0,60,4,0.6000
792,0,0,60,4,0.6000
793,0,0,60,4,0.6000
794,0,0,60,4,0.6000
795,0,0,60,4,0.6000
796,0,0,60,4,0.6000
797,0,0,60,4,0.6000
798,0,0,60,4,0.6000
799,0,0,60,4,0.6000
800,1,0,60,4,0.6000
801,1,0,60,4,0.6000
802,1,0,60,4,0.6000
803,2,0,59,5,0.5900
804,2,0,59,5,0.5900
805,2,0,59,5,0.5900
806,2,0,59,5,0.5900
807,2,0,59,5,0.5900
808,2,0,59,5,0.5900
809,2,0,59,5,0.5900
810,2,0,59,5,0.5900
811,2,0,59,5,0.5900
812,3,0,59,5,0.5900
813,3,0,59,5,0.5900
814,3,0,59,5,0.5900
815,3,0,59,5,0.5900
816,3,0,58,6,0.5800
817,3,0,58,6,0.5800
818,4,0,58,6,0.5800
819,4,0,58,6,0.5800
820,4,0,58,6,0.5800
821,4,0,58,6,0.5800
822,4,0,58,6,0.5800
823,4,0,58,6,0.5800
824,4,0,58,6,0.5800
825,4,0,58,6,0.5800
826,4,0,58,6,0.5800
827,4,0,58,6,0.5800
828,4,0,58,6,0.5800
829,3,0,59,6,0.5900
830,3,0,59,6,0.5900
831,2,0,60,6,0.6000
832,2,0,60,6,0.6000
833,2,0,60,6,0.6000
834,2,0,60,6,0.6000
835,2,0,60,6,0.6000
836,1,0,61,6,0.6100
837,0,0,62,6,0.6200
838,0,0,62,6,0.6200
839,1,0,62,6,0.6200
840,1,0,62,6,0.6200
841,1,0,61,7,0.6100
842,1,0,61,7,0.6100
843,1,0,61,7,0.6100
844,1,0,60,8,0.6000
845,1,0,60,8,0.6000
846,2,0,60,8,0.6000
847,2,0,60,8,0.6000
848,2,0,60,8,0.6000
849,2,0,60,8,0.6000
850,3,0,60,8,0.6000
851,3,0,60,8,0.6000
852,3,0,60,8,0.6000
853,3,0,60,8,0.6000
854,3,0,60,8,0.6000
855,4,0,60,8,0.6000
856,5,0,59,9,0.5900
857,6,0,59,9,0.5900
858,6,0,59,9,0.5900
859,7,0,59,9,0.5900
860,7,0,59,9,0.5900
861,7,0,59,9,0.5900
862,7,0,59,9,0.5900
863,7,0,59,9,0.5900
864,7,0,59,9,0.5900
865,7,0,59,9,0.5900
866,7,0,59,9,0.5900
867,7,0,59,9,0.5900
868,7,0,59,9,0.5900
869,7,0,59,9,0.5900
870,7,0,59,9,0.5900
871,7,0,59,9,0.5900
872,7,0,59,9,0.5900
873,6,0,60,9,0.6000
874,5,0,61,9,0.6100
875,5,0,61,9,0.6100
876,4,0,62,9,0.6200
877,3,0,63,9,0.6300
878,3,0,63,9,0.6300
879,2,0,64,9,0.6400
880,2,0,64,9,0.6400
881,2,0,64,9,0.6400
882,2,0,64,9,0.6400
883,2,0,64,9,0.6400
884,2,0,64,9,0.6400
885,2,0,64,9,0.6400
886,2,0,64,9,0.6400
887,2,0,64,9,0.6400
888,2,0,64,9,0.6400
889,2,0,64,9,0.6400
890,2,0,64,9,0.6400
891,2,0,64,9,0.6400
892,3,0,64,9,0.6400
893,3,0,64,9,0.6400
894,3,0,64,9,0.6400
895,3,0,64,9,0.6400
896,3,0,64,9,0.6400
897,3,0,64,9,0.6400
898,3,0,64,9,0.6400
899,3,0,64,9,0.6400
900,2,0,65,9,0.6500
901,2,0,65,9,0.6500
902,2,0,65,9,0.6500
903,3,0,65,9,0.6500
904,3,0,65,9,0.6500
905,3,0,65,9,0.6500
906,3,0,65,9,0.6500
907,3,0,65,9,0.6500
908,2,0,66,9,0.6600
909,2,0,66,9,0.6600
910,2,0,66,9,0.6600
911,2,0,66,9,0.6600
912,2,0,66,9,0.6600
913,1,0,67,9,0.6700
914,1,0,67,9,0.6700
915,1,0,67,9,0.6700
916,1,0,67,9,0.6700
917,1,0,67,9,0.6700
